arrayType;sortMethod;arraySize;duration;comparisons
unsorted;msd_radix_sort;2200;6126;83500
unsorted;msd_radix_sort_switch;2200;2156;83500
unsorted;std_quicksort;2300;1041;43706
unsorted;std_mergesort;2300;622;65854
unsorted;string_quicksort;2300;176630;65854
unsorted;string_mergesort;2300;4038;86106
unsorted;msd_radix_sort;2300;7252;86106
unsorted;msd_radix_sort_switch;2300;3096;86106
unsorted;std_quicksort;2400;1485;51078
unsorted;std_mergesort;2400;863;74126
unsorted;string_quicksort;2400;200729;74126
unsorted;string_mergesort;2400;4231;95671
unsorted;msd_radix_sort;2400;7074;95671
unsorted;msd_radix_sort_switch;2400;2564;95671
unsorted;std_quicksort;2500;1259;53591
unsorted;std_mergesort;2500;653;77637
unsorted;string_quicksort;2500;202235;77637
unsorted;string_mergesort;2500;7560;100268
unsorted;msd_radix_sort;2500;8015;100268
unsorted;msd_radix_sort_switch;2500;2605;100268
unsorted;std_quicksort;2600;1491;51071
unsorted;std_mergesort;2600;921;76016
unsorted;string_quicksort;2600;236046;76016
unsorted;string_mergesort;2600;5578;99749
unsorted;msd_radix_sort;2600;9784;99749
unsorted;msd_radix_sort_switch;2600;2735;99749
unsorted;std_quicksort;2700;1393;53294
unsorted;std_mergesort;2700;910;80054
unsorted;string_quicksort;2700;255376;80054
unsorted;string_mergesort;2700;4803;105072
unsorted;msd_radix_sort;2700;8308;105072
unsorted;msd_radix_sort_switch;2700;2768;105072
unsorted;std_quicksort;2800;1324;56764
unsorted;std_mergesort;2800;767;84191
unsorted;string_quicksort;2800;246173;84191
unsorted;string_mergesort;2800;5186;110367
unsorted;msd_radix_sort;2800;8601;110367
unsorted;msd_radix_sort_switch;2800;2741;110367
unsorted;std_quicksort;2900;1382;59697
unsorted;std_mergesort;2900;764;88071
unsorted;string_quicksort;2900;286405;88071
unsorted;string_mergesort;2900;5685;115305
unsorted;msd_radix_sort;2900;9048;115305
unsorted;msd_radix_sort_switch;2900;2691;115305
unsorted;std_quicksort;3000;1491;62131
unsorted;std_mergesort;3000;822;91565
unsorted;string_quicksort;3000;315590;91565
unsorted;string_mergesort;3000;5886;119833
unsorted;msd_radix_sort;3000;11756;119833
unsorted;msd_radix_sort_switch;3000;3903;119833
reversed_sorted;std_quicksort;100;21;973
reversed_sorted;std_mergesort;100;47;1717
reversed_sorted;string_quicksort;100;321;1717
reversed_sorted;string_mergesort;100;120;2403
reversed_sorted;msd_radix_sort;100;328;2403
reversed_sorted;msd_radix_sort_switch;100;94;2403
reversed_sorted;std_quicksort;200;43;2135
reversed_sorted;std_mergesort;200;39;3758
reversed_sorted;string_quicksort;200;1289;3758
reversed_sorted;string_mergesort;200;252;5245
reversed_sorted;msd_radix_sort;200;561;5245
reversed_sorted;msd_radix_sort_switch;200;182;5245
reversed_sorted;std_quicksort;300;74;3636
reversed_sorted;std_mergesort;300;67;6125
reversed_sorted;string_quicksort;300;2848;6125
reversed_sorted;string_mergesort;300;392;8409
reversed_sorted;msd_radix_sort;300;818;8409
reversed_sorted;msd_radix_sort_switch;300;273;8409
reversed_sorted;std_quicksort;400;94;4658
reversed_sorted;std_mergesort;400;87;7963
reversed_sorted;string_quicksort;400;5050;7963
reversed_sorted;string_mergesort;400;536;11134
reversed_sorted;msd_radix_sort;400;1221;11134
reversed_sorted;msd_radix_sort_switch;400;375;11134
reversed_sorted;std_quicksort;500;120;5621
reversed_sorted;std_mergesort;500;114;10023
reversed_sorted;string_quicksort;500;8912;10023
reversed_sorted;string_mergesort;500;934;13877
reversed_sorted;msd_radix_sort;500;2006;13877
reversed_sorted;msd_radix_sort_switch;500;546;13877
reversed_sorted;std_quicksort;600;185;7969
reversed_sorted;std_mergesort;600;140;13218
reversed_sorted;string_quicksort;600;11330;13218
reversed_sorted;string_mergesort;600;878;18204
reversed_sorted;msd_radix_sort;600;1850;18204
reversed_sorted;msd_radix_sort_switch;600;518;18204
reversed_sorted;std_quicksort;700;186;9078
reversed_sorted;std_mergesort;700;163;15308
reversed_sorted;string_quicksort;700;15665;15308
reversed_sorted;string_mergesort;700;1059;21172
reversed_sorted;msd_radix_sort;700;2130;21172
reversed_sorted;msd_radix_sort_switch;700;607;21172
reversed_sorted;std_quicksort;800;212;10125
reversed_sorted;std_mergesort;800;184;17118
reversed_sorted;string_quicksort;800;21477;17118
reversed_sorted;string_mergesort;800;1748;23844
reversed_sorted;msd_radix_sort;800;2468;23844
reversed_sorted;msd_radix_sort_switch;800;686;23844
reversed_sorted;std_quicksort;900;238;11200
reversed_sorted;std_mergesort;900;240;19911
reversed_sorted;string_quicksort;900;32157;19911
reversed_sorted;string_mergesort;900;1719;27438
reversed_sorted;msd_radix_sort;900;3136;27438
reversed_sorted;msd_radix_sort_switch;900;985;27438
reversed_sorted;std_quicksort;1000;259;12287
reversed_sorted;std_mergesort;1000;263;21708
reversed_sorted;string_quicksort;1000;31914;21708
reversed_sorted;string_mergesort;1000;1570;29945
reversed_sorted;msd_radix_sort;1000;3041;29945
reversed_sorted;msd_radix_sort_switch;1000;849;29945
reversed_sorted;std_quicksort;1100;327;15859
reversed_sorted;std_mergesort;1100;280;26173
reversed_sorted;string_quicksort;1100;39571;26173
reversed_sorted;string_mergesort;1100;1906;35508
reversed_sorted;msd_radix_sort;1100;3500;35508
reversed_sorted;msd_radix_sort_switch;1100;1068;35508
reversed_sorted;std_quicksort;1200;345;17097
reversed_sorted;std_mergesort;1200;329;28262
reversed_sorted;string_quicksort;1200;52670;28262
reversed_sorted;string_mergesort;1200;1912;38761
